ID,Congressional District,Call Date,Disposition,Q1
111872,15,9/30/2020,C,1 - Yes
103520,13,9/30/2020,D,
162787,7,10/2/2020,Left Message,
53338,14,9/28/2020,Left Message,
158946,7,10/2/2020,Left Message,
37392,11,9/28/2020,D,
122442,2,10/1/2020,Left Message,
163248,8,10/2/2020,Left Message,
131216,9,10/1/2020,D,
94746,11,9/30/2020,Left Message,
157412,7,10/2/2020,D,
38933,11,9/28/2020,Left Message,
151363,6,10/2/2020,D,
56087,15,9/28/2020,C,4 - Refused
108497,15,9/30/2020,D,
85136,15,9/29/2020,Left Message,
56232,15,9/28/2020,D,
142085,2,10/2/2020,Left Message,
14661,1,9/29/2020,Left Message Recording,
152340,6,10/2/2020,Left Message,
43489,12,9/28/2020,D,
124742,2,10/1/2020,Left Message,
58034,8,9/29/2020,Left Message,
149933,6,10/2/2020,Left Message,
109418,15,9/30/2020,Left Message,
116220,2,10/1/2020,Left Message,
15872,1,9/30/2020,Wrong Number,
72383,11,9/29/2020,C,2 - No
913,1,9/28/2020,Wrong Number,
86595,8,9/30/2020,C,1 - Yes
33266,9,9/28/2020,Left Message,
44690,12,9/28/2020,D,
84998,15,9/29/2020,C,4 - Refused
36705,10,9/28/2020,C,2
13795,1,9/29/2020,Left Message Recording,
39706,11,9/28/2020,Left Message,
65113,9,9/29/2020,Left Message,
15379,1,9/29/2020,Wrong Number,
162378,7,10/2/2020,C,1
41188,11,9/28/2020,D,
20029,1,9/30/2020,Wrong Number,
120695,2,10/1/2020,Left Message,
101700,12,9/30/2020,Left Message,
89785,9,9/30/2020,Left Message,
148000,5,10/2/2020,Left Message,
144231,3,10/2/2020,C,4
21198,1,9/30/2020,Wrong Number,
24130,1,10/01/2020,Wrong Number,
149076,6,10/2/2020,C,4
162263,7,10/2/2020,Left Message,
17088,1,9/30/2020,Wrong Number,
30364,8,9/28/2020,Left Message,
51465,13,9/28/2020,Left Message,
131545,9,10/1/2020,D,
83615,15,9/29/2020,Left Message,
157486,7,10/2/2020,C,2 - No
36903,10,9/28/2020,D,
145377,3,10/2/2020,Left Message,
159771,7,10/2/2020,Left Message,
37415,11,9/28/2020,Left Message,
86159,8,9/30/2020,Left Message,
45260,12,9/28/2020,Left Message,
73873,12,9/29/2020,D,
32663,9,9/28/2020,D,
28642,8,9/28/2020,Left Message,
137091,12,10/1/2020,D,
1963,1,9/28/2020,Wrong Number,
5233,1,9/28/2020,Left Message Recording,
105206,13,9/30/2020,Left Message,
142544,3,10/2/2020,Left Message,
134099,11,10/1/2020,D,
150788,6,10/2/2020,Left Message,
139587,15,10/1/2020,D,
44982,12,9/28/2020,Left Message,
41526,11,9/28/2020,Left Message,
154570,6,10/2/2020,D,
34526,9,9/28/2020,D,
310,1,9/28/2020,Left Message Recording,
93843,11,9/30/2020,Left Message,
58164,8,9/29/2020,Left Message,
3497,1,9/28/2020,Left Message Recording,
156245,6,10/2/2020,Left Message,
36100,10,9/28/2020,Left Message,
53355,14,9/28/2020,D,
145543,3,10/2/2020,Left Message,
24929,1,10/01/2020,Wrong Number,
110986,15,9/30/2020,D,
67759,10,9/29/2020,C,4
127512,2,10/1/2020,Left Message,
34241,9,9/28/2020,D,
156321,6,10/2/2020,Left Message,
124684,2,10/1/2020,Left Message,
10016,,9/29/2020,Wrong Number,
152117,6,10/2/2020,Left Message,
91390,10,9/30/2020,Left Message,
151217,6,10/2/2020,Left Message,
121482,2,10/1/2020,Left Message,
40939,11,9/28/2020,Left Message,
109268,15,9/30/2020,Left Message,
73227,11,9/29/2020,Left Message,
77273,12,9/29/2020,Left Message,
145414,3,10/2/2020,Left Message,
116871,2,10/1/2020,Left Message,
125025,2,10/1/2020,Left Message,
117075,2,10/1/2020,Left Message,
117310,2,10/1/2020,Left Message,
36922,10,9/28/2020,Left Message,
